X,Y,CCN,REPORT_DAT,START_DATE,END_DATE,BLOCK,OFFENSE,METHOD,SHIFT,WARD,ANC,DISTRICT,PSA,NEIGHBORHOOD_CLUSTER,BLOCK_GROUP,CENSUS_TRACT,VOTING_PRECINCT,BID,XBLOCK,YBLOCK,LATITUDE,LONGITUDE,OBJECTID,OCTO_RECORD_ID
402374,132186,10251445,2020/09/11 04:00:00+00,2010/09/02 04:00:00+00,2010/09/02 04:00:00+00,2300 - 2399 BLOCK OF AINGER PLACE SE,HOMICIDE,GUN,MIDNIGHT,8,8B,7,701,Cluster 36,007502 1,007502,Precinct 134,,402374,132186,38.8574834788,-76.9726483717,958510927,
396168,137533,11139598,2020/08/24 04:00:00+00,2011/09/23 06:40:00+00,,1900 - 1999 BLOCK OF M STREET NW,HOMICIDE,OTHERS,MIDNIGHT,2,2C,2,207,Cluster 6,010700 1,010700,Precinct 17,GOLDEN TRIANGLE,396168,137533,38.9056461773,-77.0441795335,958510934,
397330,138223,00016641,2020/01/28 05:14:39+00,2020/01/28 05:14:58+00,2020/01/28 05:15:02+00,1300 - 1399 BLOCK OF CORCORAN STREET NW,THEFT F/AUTO,OTHERS,MIDNIGHT,2,2F,3,307,Cluster 7,005001 2,005001,Precinct 16,,397330,138223,38.9118662323,-77.0307853965,958510936,
402411,131808,10147537,2020/12/21 05:00:00+00,2010/10/10 02:00:00+00,,2300 - 2499 BLOCK OF HARTFORD STREET SE,HOMICIDE,OTHERS,MIDNIGHT,8,8B,7,702,Cluster 36,007408 2,007408,Precinct 115,,402411,131808,38.8540781928,-76.9722234078,958510937,
399848,128205,18048023,2020/10/21 04:00:00+00,2018/03/26 08:40:06+00,2018/03/26 10:04:44+00,4600 - 4799 BLOCK OF SOUTH CAPITOL STREET,HOMICIDE,OTHERS,MIDNIGHT,8,8E,7,708,Cluster 39,009811 1,009811,Precinct 125,,399848,128205,38.8216240267,-77.0017503622,958517170,
401480,135000,20003513,2020/01/07 03:20:43+00,2020/01/07 00:05:51+00,2020/01/07 00:09:03+00,1500 - 1599 BLOCK OF E STREET SE,ROBBERY,GUN,EVENING,7,7D,1,107,Cluster 26,006802 2,006802,Precinct 91,,401480,135000,38.8828350895,-76.982942379,958521041,
395708,136984,20003666,2020/01/07 08:00:11+00,2020/01/07 03:12:32+00,2020/01/07 04:00:01+00,2200 - 2299 BLOCK OF I STREET NW,THEFT/OTHER,OTHERS,MIDNIGHT,2,2A,2,207,Cluster 5,010800 1,010800,Precinct 2,,395708,136984,38.9006984662,-77.0494794906,958521042,
403516,133455,20004312,2020/01/08 15:08:11+00,2020/01/08 14:40:37+00,,3200 - 3299 BLOCK OF PENNSYLVANIA AVENUE SE,THEFT/OTHER,OTHERS,DAY,7,7B,6,605,Cluster 34,009901 2,009901,Precinct 109,,403516,133455,38.8689113338,-76.9594845298,958521043,
398767,139151,20004359,2020/01/08 17:12:26+00,2020/01/08 16:00:53+00,2020/01/08 16:13:40+00,136 - 199 BLOCK OF ADAMS STREET NW,MOTOR VEHICLE THEFT,OTHERS,DAY,5,5E,3,306,Cluster 21,003301 3,003301,Precinct 135,,398767,139151,38.9202291552,-77.0142182939,958521044,
392668,143406,20004487,2020/01/08 21:04:44+00,2020/01/08 18:31:00+00,2020/01/08 20:15:04+00,5224 - 5299 BLOCK OF WISCONSIN AVENUE NW,THEFT F/AUTO,OTHERS,EVENING,3,3E,2,202,Cluster 11,001100 2,001100,Precinct 32,,392668,143406,38.9585297026,-77.0845941314,958521045,
395118,140625,20005738,2020/01/10 20:49:34+00,2020/01/10 19:00:08+00,2020/01/10 19:40:57+00,2700 - 2899 BLOCK OF MACOMB STREET NW,THEFT F/AUTO,OTHERS,EVENING,3,3C,2,204,Cluster 15,001304 1,001304,Precinct 34,,395118,140625,38.9334947121,-77.0563070797,958521046,
397264,143028,20005818,2020/01/11 01:02:38+00,2020/01/10 21:00:33+00,2020/01/10 21:30:18+00,1300  - 1399 BLOCK OF JEFFERSON STREET NW,THEFT F/AUTO,OTHERS,EVENING,4,4E,4,403,Cluster 18,002002 3,002002,Precinct 54,,397264,143028,38.9551509209,-77.0315655406,958521047,
397229,138854,20006985,2020/01/12 18:32:03+00,2020/01/12 05:00:56+00,2020/01/12 06:00:17+00,2000 - 2099 BLOCK OF 14TH STREET NW,ROBBERY,OTHERS,DAY,1,1B,3,305,Cluster 3,004401 2,004401,Precinct 22,,397229,138854,38.9175501783,-77.0319524842,958521048,
397886,139847,20007112,2020/01/12 22:25:45+00,2020/01/12 21:12:08+00,2020/01/12 22:00:52+00,700 - 999 BLOCK OF GRESHAM PLACE NW,THEFT/OTHER,OTHERS,EVENING,1,1E,3,304,Cluster 2,003500 1,003500,Precinct 37,,397886,139847,38.926497268,-77.0243796558,958521049,
397428,146175,20007458,2020/01/13 15:10:26+00,2020/01/12 01:30:49+00,2020/01/13 13:45:52+00,7700  - 7708 BLOCK OF 13TH STREET NW,THEFT F/AUTO,OTHERS,DAY,4,4A,4,401,Cluster 16,001600 1,001600,Precinct 62,,397428,146175,38.983500346,-77.0296852607,958521050,
399360,144089,20007473,2020/01/13 16:22:48+00,2020/01/13 15:00:18+00,2020/01/13 15:30:56+00,6100  - 6199 BLOCK OF 1ST PLACE NE,THEFT/OTHER,OTHERS,DAY,4,4B,4,406,Cluster 19,009505 2,009505,Precinct 64,,399360,144089,38.9647127093,-77.0073847427,958521051,
398319,136303,20008337,2020/01/15 03:03:39+00,2020/01/14 18:00:44+00,2020/01/14 18:30:20+00,500 - 599 BLOCK OF INDIANA AVENUE NW,THEFT/OTHER,OTHERS,EVENING,6,6E,1,102,Cluster 8,005900 2,005900,Precinct 143,DOWNTOWN,398319,136303,38.8945726425,-77.019377418,958521052,
400541,139301,20008508,2020/01/15 03:29:35+00,2020/01/15 02:57:37+00,2020/01/15 03:10:51+00,2300 - 2499 BLOCK OF WASHINGTON PLACE NE,THEFT/OTHER,OTHERS,EVENING,5,5C,5,505,Cluster 22,009102 4,009102,Precinct 72,,400541,139301,38.9215811022,-76.9937613603,958521053,
395250,137031,20008709,2020/01/15 15:47:28+00,2020/01/15 00:30:16+00,2020/01/15 13:48:14+00,900 - 923 BLOCK OF 26TH STREET NW,THEFT F/AUTO,OTHERS,DAY,2,2A,2,207,Cluster 5,005601 1,005601,Precinct 3,,395250,137031,38.9011195034,-77.0547597786,958521054,
401074,140646,20008953,2020/01/15 22:09:05+00,2020/01/15 20:40:53+00,2020/01/15 20:45:40+00,1300 - 1399 BLOCK OF NEWTON STREET NE,THEFT/OTHER,OTHERS,EVENING,5,5B,5,504,Cluster 22,009301 4,009301,Precinct 68,,401074,140646,38.9336967931,-76.9876128694,958521055,
396559,137255,20009076,2020/01/16 02:14:29+00,2020/01/15 22:59:37+00,2020/01/16 00:39:32+00,1000 - 1099 BLOCK OF CONNECTICUT AVENUE NW,THEFT/OTHER,OTHERS,EVENING,2,2C,2,207,Cluster 6,010700 1,010700,Precinct 17,GOLDEN TRIANGLE,396559,137255,38.9031434735,-77.0396702609,958521056,
393344,141646,20009080,2020/01/16 00:29:28+00,2020/01/15 23:21:48+00,2020/01/15 23:28:36+00,4100 - 4199 BLOCK OF WISCONSIN AVENUE NW,THEFT F/AUTO,OTHERS,EVENING,3,3A,2,202,Cluster 11,001002 2,001002,Precinct 29,,393344,141646,38.9426805302,-77.0767775979,958521057,
